Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cl_R2
4415,0.75,4000000,41,0.014929,0.00030209,0.017381,0.998641
4415,0.75,8000000,41,0.016872,0.00044538,0.021104,0.997999
4415,0.8,75000,41,0.023416,0.00062742,0.025048,0.997931
4415,0.8,125000,41,0.026513,0.00081716,0.028586,0.997324
4415,0.8,250000,41,0.024467,0.00078205,0.027965,0.997484
4415,0.8,500000,41,0.024103,0.00069993,0.026456,0.997776
4415,0.8,1000000,41,0.023653,0.00065461,0.025585,0.997899
4415,0.8,2000000,41,0.022078,0.00058771,0.024243,0.998103
4415,0.8,4000000,41,0.02237,0.0006091,0.02468,0.998032
4415,0.8,8000000,41,0.029283,0.00109093,0.033029,0.996481
4415,0.85,75000,41,0.024081,0.00093169,0.030524,0.998265
4415,0.85,125000,41,0.02668,0.00111498,0.033391,0.997985
4415,0.85,250000,41,0.023958,0.00085468,0.029235,0.998493
4415,0.85,500000,41,0.022306,0.00073704,0.027148,0.998687
4415,0.85,1000000,41,0.023686,0.00083161,0.028838,0.998475
4415,0.85,2000000,41,0.025312,0.00092369,0.030392,0.998284
4415,0.85,4000000,41,0.025173,0.00092982,0.030493,0.998266
4415,0.85,8000000,41,0.028898,0.00126631,0.035585,0.997642
4415,0.9,75000,41,0.022781,0.00080462,0.028366,0.9992
4415,0.9,125000,41,0.02473,0.0009893,0.031453,0.999036
4415,0.9,250000,41,0.02261,0.00090844,0.03014,0.99913
4415,0.9,500000,41,0.022566,0.00090259,0.030043,0.999137
4415,0.9,1000000,41,0.023678,0.00119147,0.034518,0.998835
4415,0.9,2000000,41,0.022215,0.00087353,0.029556,0.999145
4415,0.9,4000000,41,0.021419,0.00090219,0.030037,0.999113
4415,0.9,8000000,41,0.024891,0.00106959,0.032705,0.998948
4421,0.25,75000,41,0.028331,0.002031,0.045067,0.993659
4421,0.25,125000,41,0.035088,0.00208718,0.045686,0.994284
4421,0.25,250000,41,0.021838,0.00081916,0.028621,0.997528
