Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
3418,0.7,4000000,41,0.012214,0.01534,0.99847,0.002185,0.002837,0.999153,0.001647,0.001909,0.995622
3418,0.7,8000000,41,0.010739,0.01353,0.998815,0.001886,0.002729,0.999216,0.001787,0.002194,0.994199
3418,0.75,75000,41,0.014724,0.021867,0.996866,0.003218,0.004776,0.997594,0.003562,0.004245,0.986655
3418,0.75,125000,41,0.01547,0.02185,0.996854,0.003615,0.004781,0.997619,0.005006,0.006588,0.970413
3418,0.75,250000,41,0.018104,0.024441,0.996164,0.00419,0.005856,0.996433,0.005177,0.006805,0.968482
3418,0.75,500000,41,0.014606,0.020507,0.997386,0.004079,0.005335,0.99699,0.003891,0.004588,0.984391
3418,0.75,1000000,41,0.013997,0.019083,0.997735,0.003631,0.004776,0.997551,0.003059,0.003777,0.989072
3418,0.75,2000000,41,0.014012,0.019124,0.997719,0.003495,0.004778,0.997542,0.002723,0.003453,0.990754
3418,0.75,4000000,41,0.015377,0.021592,0.997095,0.003425,0.004991,0.997315,0.002856,0.003592,0.989881
3418,0.75,8000000,41,0.014145,0.020465,0.997396,0.002813,0.004683,0.997639,0.00324,0.003976,0.987573
3418,0.8,75000,41,0.01263,0.018336,0.998502,0.002609,0.003251,0.998952,0.004235,0.006176,0.986643
3418,0.8,125000,41,0.010202,0.015427,0.998957,0.00301,0.003771,0.998599,0.003696,0.005511,0.989875
3418,0.8,250000,41,0.008963,0.015129,0.999017,0.002914,0.003581,0.998739,0.003409,0.005387,0.990489
3418,0.8,500000,41,0.010732,0.016973,0.998766,0.003031,0.003759,0.998602,0.003337,0.005673,0.989057
3418,0.8,1000000,41,0.009902,0.016898,0.998755,0.002998,0.003914,0.998472,0.003124,0.005578,0.989105
3418,0.8,2000000,41,0.009704,0.0165,0.998803,0.002763,0.00356,0.998733,0.003043,0.005779,0.988097
3418,0.8,4000000,41,0.01146,0.019403,0.998341,0.002539,0.003354,0.998873,0.003212,0.006707,0.983777
3418,0.8,8000000,41,0.011766,0.018264,0.998532,0.002283,0.002972,0.999115,0.003471,0.006618,0.984165
3418,0.85,75000,41,0.009389,0.011333,0.999666,0.004224,0.005576,0.997659,0.005065,0.006243,0.995402
3418,0.85,125000,41,0.010453,0.01306,0.99957,0.004552,0.006089,0.997233,0.004418,0.005435,0.996754
3418,0.85,250000,41,0.013337,0.015899,0.999381,0.004565,0.005954,0.997389,0.004464,0.005356,0.996994
3418,0.85,500000,41,0.011922,0.01411,0.999508,0.004888,0.006219,0.99717,0.004919,0.005713,0.996466
3418,0.85,1000000,41,0.011132,0.013216,0.999556,0.004798,0.006101,0.997262,0.004122,0.004813,0.997372
3418,0.85,2000000,41,0.011582,0.013785,0.999511,0.004386,0.005488,0.997779,0.003267,0.004036,0.998111
3418,0.85,4000000,41,0.011892,0.014164,0.999482,0.004148,0.005146,0.998045,0.003555,0.004432,0.997695
3418,0.85,8000000,41,0.011584,0.01412,0.999486,0.003215,0.004195,0.998701,0.00378,0.004781,0.997315
3418,0.9,75000,41,0.015147,0.019144,0.999562,0.006129,0.007853,0.997146,0.006525,0.008246,0.998123
3418,0.9,125000,41,0.01211,0.015427,0.999722,0.005557,0.006954,0.997823,0.003996,0.005153,0.999306
3418,0.9,250000,41,0.013616,0.016298,0.999697,0.004524,0.005645,0.998602,0.003383,0.004513,0.999488
3418,0.9,500000,41,0.011875,0.014065,0.999775,0.004651,0.005706,0.998589,0.003566,0.004693,0.999441
3418,0.9,1000000,41,0.015571,0.029827,0.99896,0.006439,0.011692,0.99397,0.005424,0.010079,0.997264
3418,0.9,2000000,41,0.010433,0.012557,0.999815,0.004844,0.006273,0.99825,0.003831,0.004973,0.999321
3418,0.9,4000000,41,0.010287,0.01263,0.999812,0.004691,0.005866,0.998459,0.003777,0.004786,0.999364
3418,0.9,8000000,41,0.011013,0.014361,0.999756,0.004132,0.006216,0.998269,0.004317,0.008093,0.99816
