Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
3418,0.35,125000,41,0.017041,0.028104,0.998173,0.002255,0.003588,0.99797,0.001536,0.002172,0.992852
3418,0.35,250000,41,0.007714,0.01417,0.999509,0.002695,0.007914,0.989799,0.00177,0.00494,0.962327
3418,0.35,500000,41,0.012035,0.014581,0.99941,0.000985,0.001251,0.999749,0.001004,0.001315,0.997224
3418,0.35,1000000,41,0.010207,0.012899,0.999499,0.001161,0.001601,0.9996,0.001157,0.001482,0.996346
3418,0.35,2000000,41,0.009426,0.012396,0.999521,0.001302,0.001866,0.999466,0.001176,0.001745,0.994844
3418,0.35,4000000,41,0.009964,0.013186,0.999459,0.001261,0.001769,0.999521,0.001013,0.001402,0.996648
3418,0.35,8000000,41,0.01097,0.013432,0.999442,0.00134,0.001915,0.999438,0.00108,0.00134,0.996939
3418,0.45,75000,41,0.014975,0.01811,0.999,0.002119,0.00264,0.999095,0.00116,0.001466,0.996664
3418,0.45,125000,41,0.02014,0.030071,0.997631,0.002655,0.003686,0.998106,0.001824,0.002494,0.991049
3418,0.45,250000,41,0.008528,0.0124,0.999594,0.001799,0.004804,0.996619,0.00105,0.001244,0.997766
3418,0.45,500000,41,0.013199,0.017445,0.999073,0.00168,0.005708,0.995254,0.001178,0.003539,0.98086
3418,0.45,1000000,41,0.012253,0.015023,0.999252,0.000992,0.001318,0.999752,0.000956,0.001125,0.998003
3418,0.45,2000000,41,0.009875,0.011878,0.999511,0.000923,0.001175,0.999806,0.000975,0.001209,0.997636
3418,0.45,4000000,41,0.010454,0.012672,0.999443,0.001035,0.001351,0.999743,0.000898,0.001045,0.998218
3418,0.45,8000000,41,0.011731,0.014317,0.999294,0.001512,0.001881,0.999503,0.000974,0.001116,0.997964
3418,0.55,75000,41,0.015661,0.018347,0.998696,0.002291,0.002996,0.998963,0.001343,0.001725,0.995575
3418,0.55,125000,41,0.014705,0.018171,0.998894,0.002552,0.003214,0.998779,0.001863,0.002259,0.993143
3418,0.55,250000,41,0.011224,0.014001,0.999368,0.001837,0.002313,0.99934,0.00153,0.001816,0.995659
3418,0.55,500000,41,0.012783,0.01492,0.9992,0.001732,0.00198,0.9995,0.001226,0.001637,0.996204
3418,0.55,1000000,41,0.011854,0.013526,0.999281,0.001618,0.002021,0.999482,0.000991,0.001362,0.997257
3418,0.55,2000000,41,0.012014,0.018756,0.99854,0.001952,0.003922,0.99805,0.001152,0.001536,0.99644
3418,0.55,4000000,41,0.009307,0.010919,0.999509,0.001543,0.001955,0.99952,0.001091,0.001319,0.997332
3418,0.55,8000000,41,0.008845,0.011107,0.999495,0.001675,0.002097,0.999448,0.00103,0.001237,0.997649
3418,0.65,75000,41,0.010444,0.012583,0.999087,0.001763,0.002108,0.999525,0.002176,0.002908,0.988205
3418,0.65,125000,41,0.007951,0.009203,0.999539,0.001791,0.002163,0.999504,0.00193,0.002434,0.992374
3418,0.65,250000,41,0.01234,0.015556,0.998738,0.001977,0.002308,0.999433,0.002811,0.003252,0.986818
3418,0.65,500000,41,0.01091,0.013304,0.999055,0.001442,0.00175,0.999667,0.002492,0.002902,0.989184
3418,0.65,1000000,41,0.010862,0.013329,0.999014,0.001443,0.001773,0.999654,0.002106,0.002553,0.991323
3418,0.65,2000000,41,0.011596,0.014402,0.998828,0.001316,0.0016,0.999718,0.002163,0.002609,0.990766
3418,0.65,4000000,41,0.011171,0.013386,0.998988,0.001271,0.001566,0.99973,0.002173,0.002616,0.990603
3418,0.65,8000000,41,0.010554,0.012337,0.999144,0.001281,0.00158,0.999725,0.001931,0.002418,0.991947
3418,0.7,75000,41,0.007341,0.009068,0.999442,0.002252,0.002867,0.999152,0.001984,0.002765,0.990652
3418,0.7,125000,41,0.007004,0.008503,0.999522,0.002219,0.00291,0.999137,0.001941,0.002724,0.991454
3418,0.7,250000,41,0.012152,0.015344,0.998501,0.00174,0.002312,0.999456,0.00352,0.00447,0.977497
3418,0.7,500000,41,0.00846,0.0098,0.999392,0.001862,0.002308,0.999449,0.002893,0.003368,0.986987
3418,0.7,1000000,41,0.007125,0.008745,0.999506,0.001897,0.002558,0.999314,0.001881,0.002154,0.994574
3418,0.7,2000000,41,0.007187,0.009348,0.999431,0.001806,0.002355,0.999417,0.002095,0.002428,0.992998
3418,0.7,4000000,41,0.007433,0.009331,0.999434,0.001816,0.002355,0.999416,0.002121,0.002462,0.992716
3418,0.7,8000000,41,0.006936,0.009054,0.999469,0.001814,0.002377,0.999405,0.001706,0.002085,0.994761
3418,0.75,75000,41,0.011342,0.015268,0.998472,0.001912,0.002409,0.999388,0.003059,0.004514,0.984908
3418,0.75,125000,41,0.011661,0.017661,0.997945,0.001968,0.002662,0.999262,0.004064,0.006288,0.973052
3418,0.75,250000,41,0.017089,0.027549,0.995126,0.002152,0.002851,0.999155,0.004414,0.00659,0.970446
3418,0.75,500000,41,0.014637,0.021533,0.997118,0.002051,0.002745,0.999203,0.003562,0.005161,0.980248
3418,0.75,1000000,41,0.013259,0.018421,0.99789,0.001948,0.002411,0.999376,0.00272,0.003835,0.988737
3418,0.75,2000000,41,0.012884,0.017896,0.998002,0.001797,0.00224,0.99946,0.002647,0.003674,0.989534
3418,0.75,4000000,41,0.012867,0.018576,0.99785,0.00181,0.00222,0.999469,0.002505,0.003487,0.990467
3418,0.75,8000000,41,0.013854,0.020384,0.997416,0.002094,0.002547,0.999301,0.002262,0.003329,0.991284
3418,0.8,75000,41,0.006832,0.007924,0.99972,0.001976,0.002451,0.999404,0.00241,0.004242,0.9937
3418,0.8,125000,41,0.008239,0.009684,0.999589,0.002093,0.002476,0.999396,0.002783,0.004451,0.993398
3418,0.8,250000,41,0.005995,0.006913,0.999795,0.002014,0.002288,0.999486,0.002769,0.004059,0.994599
3418,0.8,500000,41,0.009015,0.010501,0.999527,0.001652,0.001954,0.999622,0.003725,0.005008,0.991472
3418,0.8,1000000,41,0.008749,0.010746,0.999496,0.001883,0.00218,0.999526,0.00308,0.00455,0.992751
3418,0.8,2000000,41,0.008728,0.010485,0.999517,0.001713,0.002083,0.999566,0.002821,0.004047,0.994161
3418,0.8,4000000,41,0.008987,0.010689,0.999496,0.001809,0.002185,0.999522,0.002707,0.003741,0.994953
3418,0.8,8000000,41,0.0086,0.010097,0.999551,0.002223,0.002531,0.999359,0.002333,0.00313,0.996459
3418,0.85,75000,41,0.00911,0.011375,0.999664,0.001818,0.002467,0.999542,0.003041,0.003729,0.998359
3418,0.85,125000,41,0.008172,0.009763,0.99976,0.001873,0.002287,0.99961,0.003803,0.004567,0.997708
3418,0.85,250000,41,0.010501,0.013935,0.999525,0.002088,0.002422,0.999568,0.002501,0.003812,0.998478
3418,0.85,500000,41,0.011993,0.015813,0.999383,0.001947,0.002262,0.999626,0.002361,0.003337,0.998794
3418,0.85,1000000,41,0.010442,0.013153,0.999561,0.001584,0.001906,0.999733,0.002449,0.003528,0.998588
3418,0.85,2000000,41,0.010756,0.013608,0.999524,0.001458,0.001843,0.999749,0.002348,0.003252,0.998774
3418,0.85,4000000,41,0.012827,0.015881,0.999349,0.001628,0.002042,0.999692,0.002187,0.00303,0.998922
3418,0.85,8000000,41,0.014685,0.017374,0.999222,0.002341,0.002785,0.999428,0.002659,0.003745,0.998353
3418,0.9,75000,41,0.010116,0.01252,0.999812,0.001977,0.002471,0.999717,0.003484,0.00412,0.999532
3418,0.9,125000,41,0.011166,0.013527,0.999787,0.001516,0.002089,0.999804,0.003327,0.003739,0.999634
3418,0.9,250000,41,0.010658,0.013347,0.999797,0.001389,0.001743,0.999867,0.002916,0.003758,0.999645
3418,0.9,500000,41,0.00918,0.011756,0.999843,0.001569,0.002107,0.999808,0.003655,0.004822,0.99941
3418,0.9,1000000,41,0.012608,0.026916,0.999153,0.002925,0.008284,0.996974,0.004539,0.008999,0.997819
3418,0.9,2000000,41,0.009898,0.012157,0.999826,0.001651,0.002059,0.999811,0.003103,0.004287,0.999496
3418,0.9,4000000,41,0.011271,0.012901,0.999804,0.001873,0.00225,0.999773,0.003502,0.004575,0.999419
3418,0.9,8000000,41,0.014361,0.01761,0.999633,0.003249,0.006149,0.998306,0.004567,0.007627,0.998366
4415,0.25,75000,41,0.015289,0.026494,0.998389,0.002605,0.005592,0.995232,0.002161,0.005312,0.974428
4415,0.25,125000,41,0.015072,0.019769,0.99916,0.002697,0.005368,0.995528,0.001949,0.003058,0.992018
4415,0.25,250000,41,0.015193,0.020498,0.99906,0.002122,0.003655,0.997937,0.001331,0.001776,0.99722
4415,0.25,500000,41,0.012108,0.019397,0.99908,0.001871,0.00352,0.99812,0.001186,0.002524,0.994216
4415,0.25,1000000,41,0.009771,0.013676,0.999521,0.001703,0.002824,0.998816,0.000955,0.00175,0.997163
4415,0.25,2000000,41,0.010368,0.01353,0.999519,0.001825,0.003028,0.998648,0.000869,0.001402,0.998127
4415,0.25,4000000,41,0.010303,0.012628,0.999582,0.001662,0.0027,0.998927,0.00078,0.001087,0.998867
4415,0.25,8000000,41,0.01116,0.012636,0.999583,0.001678,0.002675,0.998949,0.001299,0.001555,0.997683
4415,0.35,75000,41,0.012445,0.016534,0.999336,0.002365,0.003335,0.998429,0.001621,0.002819,0.992627
4415,0.35,125000,41,0.012845,0.017736,0.999298,0.00253,0.004929,0.996415,0.001362,0.001922,0.996713
4415,0.35,250000,41,0.014916,0.020084,0.999069,0.002423,0.004286,0.99729,0.001386,0.002591,0.994068
4415,0.35,500000,41,0.011436,0.015133,0.999419,0.002162,0.003416,0.998301,0.000858,0.001234,0.998566
4415,0.35,1000000,41,0.009337,0.011926,0.999619,0.001671,0.002757,0.998915,0.000808,0.001143,0.998743
4415,0.35,2000000,41,0.008273,0.011359,0.999645,0.001534,0.002375,0.999204,0.00075,0.001011,0.999003
4415,0.35,4000000,41,0.00956,0.012357,0.99958,0.00137,0.002213,0.99931,0.000841,0.001051,0.998915
4415,0.35,8000000,41,0.011543,0.014046,0.999461,0.00114,0.001899,0.999492,0.001052,0.001241,0.998487
4415,0.45,75000,41,0.01126,0.015607,0.999356,0.002295,0.003325,0.998609,0.001595,0.002835,0.992664
4415,0.45,125000,41,0.014869,0.019347,0.999099,0.003042,0.004874,0.996864,0.002043,0.002576,0.99409
4415,0.45,250000,41,0.012897,0.019695,0.999056,0.003061,0.005522,0.995827,0.00145,0.002924,0.992109
4415,0.45,500000,41,0.011097,0.017253,0.999202,0.002789,0.004217,0.997593,0.001089,0.002043,0.995996
4415,0.45,1000000,41,0.009856,0.016039,0.999263,0.002055,0.003425,0.998438,0.001175,0.002458,0.99407
4415,0.45,2000000,41,0.009929,0.013814,0.999436,0.001802,0.002972,0.998839,0.001253,0.002136,0.995472
4415,0.45,4000000,41,0.010857,0.014026,0.999417,0.001694,0.002745,0.999011,0.001202,0.001915,0.996334
4415,0.45,8000000,41,0.012984,0.015626,0.999281,0.001348,0.002169,0.999383,0.001144,0.001729,0.99701
4415,0.55,75000,41,0.010171,0.013397,0.999452,0.002236,0.002709,0.999182,0.001429,0.001712,0.997382
4415,0.55,125000,41,0.016814,0.022452,0.998603,0.002133,0.002569,0.999258,0.001813,0.002222,0.995781
4415,0.55,250000,41,0.013159,0.017635,0.999148,0.002122,0.002928,0.999012,0.001791,0.002259,0.995544
4415,0.55,500000,41,0.01386,0.019105,0.99891,0.002391,0.003159,0.998817,0.001564,0.001994,0.996267
4415,0.55,1000000,41,0.013417,0.017498,0.999026,0.001652,0.00212,0.999467,0.001409,0.001708,0.997177
4415,0.55,2000000,41,0.011693,0.015018,0.999259,0.001673,0.002118,0.999471,0.001388,0.001788,0.996863
4415,0.55,4000000,41,0.012094,0.015209,0.999238,0.001777,0.002248,0.999405,0.001471,0.00191,0.996384
4415,0.55,8000000,41,0.012644,0.015839,0.999177,0.001768,0.002227,0.999416,0.001509,0.001917,0.99635
4415,0.65,75000,41,0.007329,0.009461,0.999633,0.002315,0.003038,0.999055,0.001042,0.001366,0.998406
4415,0.65,125000,41,0.010085,0.013708,0.999257,0.002121,0.002611,0.999308,0.000902,0.00115,0.99892
4415,0.65,250000,41,0.008957,0.012372,0.999407,0.002663,0.003142,0.998999,0.001055,0.001375,0.998466
4415,0.65,500000,41,0.007092,0.010016,0.999603,0.001921,0.002366,0.999426,0.001115,0.001347,0.998459
4415,0.65,1000000,41,0.007134,0.009644,0.999623,0.001861,0.002374,0.999417,0.000984,0.001179,0.998778
4415,0.65,2000000,41,0.006903,0.009806,0.999606,0.001717,0.002241,0.99948,0.000978,0.001283,0.998525
4415,0.65,4000000,41,0.007007,0.009717,0.999613,0.001862,0.002378,0.999414,0.001052,0.001338,0.998379
4415,0.65,8000000,41,0.00764,0.010664,0.999535,0.001903,0.0025,0.999352,0.000907,0.001096,0.99891
4415,0.7,75000,41,0.006851,0.008063,0.9997,0.002211,0.002531,0.999371,0.00185,0.002466,0.995041
4415,0.7,125000,41,0.007048,0.008773,0.999651,0.001999,0.002381,0.99945,0.001534,0.002124,0.996444
4415,0.7,250000,41,0.006305,0.009017,0.999638,0.001799,0.002073,0.999585,0.002126,0.003217,0.991944
4415,0.7,500000,41,0.006177,0.008956,0.999643,0.001361,0.001576,0.999758,0.002037,0.002848,0.993502
4415,0.7,1000000,41,0.006296,0.008175,0.999699,0.001329,0.001547,0.999764,0.001339,0.001869,0.997129
4415,0.7,2000000,41,0.006411,0.008838,0.999646,0.0014,0.001715,0.999709,0.001594,0.002194,0.995989
4415,0.7,4000000,41,0.006033,0.008642,0.999662,0.001477,0.001803,0.999678,0.001672,0.00228,0.995626
4415,0.7,8000000,41,0.005822,0.007517,0.999745,0.001712,0.00208,0.999572,0.001476,0.001955,0.996777
4415,0.75,75000,41,0.016477,0.024826,0.997129,0.002927,0.003914,0.99855,0.004186,0.006579,0.969219
4415,0.75,125000,41,0.016052,0.025265,0.996975,0.003179,0.004399,0.998186,0.005473,0.008615,0.946804
4415,0.75,250000,41,0.017478,0.026362,0.996769,0.003569,0.005387,0.99727,0.004943,0.007317,0.960947
4415,0.75,500000,41,0.016547,0.021562,0.997898,0.002768,0.003737,0.998681,0.004313,0.005747,0.97551
4415,0.75,1000000,41,0.016029,0.0203,0.998144,0.002605,0.004004,0.998461,0.004241,0.005709,0.9763
4415,0.75,2000000,41,0.015634,0.019557,0.998275,0.002679,0.003622,0.998745,0.003735,0.004872,0.982696
