Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3418,0.7,125000,41,0.024716,0.03677,0.005657,0.00689,0.002508,0.003099
3418,0.7,250000,41,0.025783,0.040754,0.006904,0.008483,0.002696,0.003543
3418,0.7,500000,41,0.021518,0.02875,0.005597,0.006646,0.002538,0.003031
3418,0.7,1000000,41,0.022431,0.027601,0.005542,0.006308,0.002855,0.003366
3418,0.7,2000000,41,0.024,0.029306,0.00579,0.006507,0.002943,0.003504
3418,0.7,4000000,41,0.022015,0.027241,0.005427,0.006305,0.002821,0.003438
3418,0.7,8000000,41,0.021321,0.028135,0.004609,0.005478,0.002284,0.002706
3418,0.75,75000,41,0.03008,0.038988,0.004155,0.004736,0.004165,0.006269
3418,0.75,125000,41,0.027265,0.036304,0.004007,0.004473,0.005033,0.008087
3418,0.75,250000,41,0.028078,0.040035,0.004514,0.005123,0.005587,0.008911
3418,0.75,500000,41,0.02856,0.041166,0.003683,0.004196,0.004112,0.006519
3418,0.75,1000000,41,0.028782,0.040689,0.003665,0.004096,0.003834,0.005727
3418,0.75,2000000,41,0.028436,0.039088,0.003781,0.00425,0.00392,0.005443
3418,0.75,4000000,41,0.02519,0.035618,0.003316,0.003799,0.003402,0.004655
3418,0.75,8000000,41,0.022821,0.032178,0.002629,0.003201,0.003378,0.004561
3418,0.8,75000,41,0.029541,0.034909,0.004735,0.005932,0.004163,0.004901
3418,0.8,125000,41,0.025124,0.031474,0.00493,0.006084,0.003031,0.004049
3418,0.8,250000,41,0.025265,0.032415,0.00514,0.005998,0.003672,0.00439
3418,0.8,500000,41,0.026628,0.03234,0.00577,0.006734,0.003496,0.004163
3418,0.8,1000000,41,0.022507,0.027684,0.00582,0.006742,0.003775,0.004508
3418,0.8,2000000,41,0.021772,0.026251,0.005378,0.006432,0.003781,0.004509
3418,0.8,4000000,41,0.020228,0.025236,0.005304,0.00618,0.003762,0.004383
3418,0.8,8000000,41,0.023905,0.030752,0.004616,0.005194,0.003501,0.00428
3418,0.85,75000,41,0.01107,0.014656,0.00636,0.007162,0.003365,0.004369
3418,0.85,125000,41,0.014625,0.018409,0.006234,0.007195,0.003687,0.00476
3418,0.85,250000,41,0.017206,0.021201,0.005819,0.006678,0.003693,0.004596
3418,0.85,500000,41,0.015833,0.019419,0.006461,0.00737,0.003366,0.003987
3418,0.85,1000000,41,0.01222,0.015183,0.006793,0.007565,0.003433,0.004396
3418,0.85,2000000,41,0.011993,0.014695,0.006072,0.006827,0.002997,0.00415
3418,0.85,4000000,41,0.012817,0.016876,0.00636,0.007137,0.003409,0.004525
3418,0.85,8000000,41,0.0178,0.023208,0.005277,0.006212,0.003454,0.004324
3418,0.9,75000,41,0.015126,0.019539,0.006186,0.007172,0.002525,0.003113
3418,0.9,125000,41,0.015801,0.019426,0.005987,0.007243,0.004344,0.005116
3418,0.9,250000,41,0.015268,0.01899,0.005517,0.006739,0.004758,0.005391
3418,0.9,500000,41,0.014496,0.018481,0.005638,0.007046,0.005135,0.005804
3418,0.9,1000000,41,0.016466,0.026505,0.006462,0.011108,0.005344,0.008529
3418,0.9,2000000,41,0.014214,0.017476,0.005306,0.006701,0.004078,0.004867
3418,0.9,4000000,41,0.013901,0.017886,0.005546,0.007073,0.003946,0.004886
3418,0.9,8000000,41,0.015981,0.020905,0.005505,0.007977,0.004641,0.006743
4415,0.25,75000,41,0.022222,0.035524,0.00673,0.010205,0.004619,0.00846
4415,0.25,125000,41,0.018793,0.02726,0.006038,0.009833,0.002956,0.005129
4415,0.25,250000,41,0.019685,0.023204,0.006751,0.008635,0.002696,0.003544
4415,0.25,500000,41,0.023776,0.032876,0.007289,0.009999,0.003654,0.005862
4415,0.25,1000000,41,0.017502,0.025872,0.006411,0.008942,0.00272,0.004946
4415,0.25,2000000,41,0.018575,0.021975,0.006677,0.008506,0.002604,0.004026
4415,0.25,4000000,41,0.018737,0.021809,0.006871,0.008403,0.002511,0.003769
4415,0.25,8000000,41,0.023745,0.02816,0.007228,0.008963,0.002124,0.003358
4415,0.35,75000,41,0.01918,0.029681,0.006345,0.009185,0.004741,0.006747
4415,0.35,125000,41,0.024166,0.032629,0.007303,0.01182,0.003283,0.004755
4415,0.35,250000,41,0.016693,0.022021,0.006073,0.009172,0.003391,0.005101
4415,0.35,500000,41,0.017787,0.022586,0.005742,0.007816,0.003651,0.005057
4415,0.35,1000000,41,0.015617,0.020755,0.005501,0.007876,0.00293,0.004674
4415,0.35,2000000,41,0.017389,0.020166,0.005671,0.007313,0.002809,0.004281
4415,0.35,4000000,41,0.014743,0.017159,0.005462,0.007176,0.002913,0.004299
4415,0.35,8000000,41,0.015475,0.018459,0.005298,0.00716,0.002855,0.004164
