Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3418,0.65,500000,41,0.010008,0.013592,0.002049,0.002405,0.001623,0.002225
3418,0.65,1000000,41,0.01227,0.017424,0.001814,0.002117,0.001912,0.002594
3418,0.65,2000000,41,0.010339,0.015033,0.002355,0.002859,0.001949,0.00273
3418,0.65,4000000,41,0.008133,0.012263,0.001792,0.002262,0.001453,0.00205
3418,0.65,8000000,41,0.009157,0.012012,0.001848,0.002251,0.001418,0.001709
3418,0.7,75000,41,0.012272,0.016244,0.002228,0.002806,0.003063,0.00385
3418,0.7,125000,41,0.011005,0.015019,0.001601,0.001965,0.002579,0.003337
3418,0.7,250000,41,0.011859,0.015784,0.001953,0.002242,0.00249,0.003357
3418,0.7,500000,41,0.012119,0.015239,0.001601,0.001882,0.00197,0.002778
3418,0.7,1000000,41,0.012242,0.015556,0.001717,0.001955,0.002013,0.002905
3418,0.7,2000000,41,0.010384,0.01362,0.001829,0.002219,0.002331,0.003143
3418,0.7,4000000,41,0.00959,0.012696,0.001663,0.001999,0.001958,0.002774
3418,0.7,8000000,41,0.00765,0.010316,0.001805,0.002131,0.002207,0.002591
3418,0.75,75000,41,0.013395,0.019796,0.003352,0.003807,0.002641,0.004247
3418,0.75,125000,41,0.014246,0.020086,0.00242,0.002944,0.003974,0.005379
3418,0.75,250000,41,0.017153,0.025073,0.002478,0.00311,0.004053,0.005933
3418,0.75,500000,41,0.015124,0.023314,0.002045,0.002664,0.002624,0.003886
3418,0.75,1000000,41,0.014422,0.020834,0.002417,0.003147,0.002345,0.003318
3418,0.75,2000000,41,0.01459,0.019974,0.002517,0.003266,0.002434,0.003447
3418,0.75,4000000,41,0.014467,0.019157,0.002008,0.002537,0.002016,0.002775
3418,0.75,8000000,41,0.0116,0.016026,0.00206,0.002485,0.002224,0.003
3418,0.8,75000,41,0.010187,0.012675,0.002526,0.002911,0.002766,0.003845
3418,0.8,125000,41,0.010923,0.014544,0.002298,0.002719,0.002429,0.003442
3418,0.8,250000,41,0.011417,0.015506,0.002367,0.002719,0.002553,0.003561
3418,0.8,500000,41,0.010075,0.013511,0.002265,0.002676,0.002068,0.002514
3418,0.8,1000000,41,0.008952,0.012607,0.002322,0.002782,0.001838,0.002221
3418,0.8,2000000,41,0.009019,0.012118,0.001979,0.00238,0.001775,0.002174
3418,0.8,4000000,41,0.007514,0.009966,0.00152,0.001937,0.00189,0.002368
3418,0.8,8000000,41,0.009803,0.011573,0.001614,0.002083,0.00165,0.002135
3418,0.85,75000,41,0.010522,0.017703,0.003227,0.004018,0.003431,0.004744
3418,0.85,125000,41,0.010833,0.019011,0.003025,0.003754,0.002507,0.004528
