Airfoil,Mach,Re,N_points,Cd_MAE,Cd_MSE,Cd_RMSE,Cd_R2
3418,0.75,2000000,41,0.002722,1.518e-05,0.003897,0.998365
3418,0.75,4000000,41,0.003114,1.746e-05,0.004179,0.998119
3418,0.75,8000000,41,0.00245,1.36e-05,0.003688,0.998536
3418,0.8,75000,41,0.002366,7.46e-06,0.002731,0.99926
3418,0.8,125000,41,0.002501,8.58e-06,0.002929,0.999155
3418,0.8,250000,41,0.002826,1.098e-05,0.003314,0.99892
3418,0.8,500000,41,0.003218,1.36e-05,0.003688,0.998654
3418,0.8,1000000,41,0.00303,1.111e-05,0.003333,0.998892
3418,0.8,2000000,41,0.003009,1.086e-05,0.003296,0.998914
3418,0.8,4000000,41,0.003572,1.636e-05,0.004045,0.998361
3418,0.8,8000000,41,0.003438,1.525e-05,0.003906,0.998472
3418,0.85,75000,41,0.003876,2.25e-05,0.004744,0.998306
3418,0.85,125000,41,0.003778,2.125e-05,0.00461,0.998414
3418,0.85,250000,41,0.003918,2.517e-05,0.005017,0.998145
3418,0.85,500000,41,0.00465,3.334e-05,0.005774,0.99756
3418,0.85,1000000,41,0.004532,2.966e-05,0.005446,0.997819
3418,0.85,2000000,41,0.004239,2.512e-05,0.005012,0.998147
3418,0.85,4000000,41,0.004485,2.892e-05,0.005378,0.997865
3418,0.85,8000000,41,0.005419,4.204e-05,0.006484,0.996898
3418,0.9,75000,41,0.005728,4.247e-05,0.006517,0.998035
3418,0.9,125000,41,0.005368,3.636e-05,0.00603,0.998363
3418,0.9,250000,41,0.005375,3.68e-05,0.006067,0.998386
3418,0.9,500000,41,0.005369,3.797e-05,0.006162,0.998354
3418,0.9,1000000,41,0.006392,0.00012694,0.011267,0.994401
3418,0.9,2000000,41,0.005248,3.846e-05,0.006202,0.998289
3418,0.9,4000000,41,0.005694,4.248e-05,0.006518,0.998098
3418,0.9,8000000,41,0.006909,8.491e-05,0.009215,0.996195
4415,0.25,75000,41,0.004817,5.733e-05,0.007572,0.991259
4415,0.25,125000,41,0.005581,8.595e-05,0.009271,0.986662
4415,0.25,250000,41,0.004488,5.632e-05,0.007505,0.991305
4415,0.25,500000,41,0.004271,3.972e-05,0.006302,0.993974
4415,0.25,1000000,41,0.003493,2.652e-05,0.005149,0.996063
4415,0.25,2000000,41,0.00319,2.281e-05,0.004776,0.996636
4415,0.25,4000000,41,0.003019,2.155e-05,0.004642,0.99683
4415,0.25,8000000,41,0.0033,3.149e-05,0.005611,0.995375
4415,0.35,75000,41,0.004391,2.887e-05,0.005373,0.995924
4415,0.35,125000,41,0.004543,3.281e-05,0.005728,0.995159
4415,0.35,250000,41,0.004189,3.792e-05,0.006158,0.994406
4415,0.35,500000,41,0.002866,1.425e-05,0.003775,0.997925
4415,0.35,1000000,41,0.00223,7.75e-06,0.002785,0.998893
4415,0.35,2000000,41,0.002349,8.66e-06,0.002943,0.998778
4415,0.35,4000000,41,0.002506,8.73e-06,0.002954,0.998771
4415,0.35,8000000,41,0.002209,8.9e-06,0.002983,0.998748
4415,0.45,75000,41,0.005171,3.79e-05,0.006156,0.995231
4415,0.45,125000,41,0.004327,2.833e-05,0.005323,0.99626
4415,0.45,250000,41,0.004741,4.163e-05,0.006452,0.994301
4415,0.45,500000,41,0.004154,2.922e-05,0.005405,0.996047
4415,0.45,1000000,41,0.003329,1.687e-05,0.004108,0.997753
4415,0.45,2000000,41,0.003216,1.52e-05,0.003899,0.998001
4415,0.45,4000000,41,0.003309,1.532e-05,0.003914,0.997989
4415,0.45,8000000,41,0.002298,7.59e-06,0.002756,0.999004
4415,0.55,75000,41,0.005636,4.367e-05,0.006608,0.995137
4415,0.55,125000,41,0.003822,2.51e-05,0.00501,0.99718
