Airfoil,Mach,Re,N_points,Cm_MAE,Cm_MSE,Cm_RMSE,Cm_R2
4415,0.65,250000,41,0.002693,9.29e-06,0.003048,0.992466
4415,0.65,500000,41,0.002388,7.84e-06,0.0028,0.993341
4415,0.65,1000000,41,0.002334,7.84e-06,0.0028,0.993104
4415,0.65,2000000,41,0.002531,8.13e-06,0.002852,0.992711
4415,0.65,4000000,41,0.00219,7.09e-06,0.002662,0.99358
4415,0.65,8000000,41,0.001723,4.27e-06,0.002066,0.996127
4415,0.7,75000,41,0.003379,1.895e-05,0.004353,0.984552
4415,0.7,125000,41,0.003339,1.771e-05,0.004209,0.986042
4415,0.7,250000,41,0.003203,1.616e-05,0.00402,0.987425
4415,0.7,500000,41,0.002707,1.144e-05,0.003383,0.990829
4415,0.7,1000000,41,0.002765,1.217e-05,0.003488,0.989996
4415,0.7,2000000,41,0.002971,1.33e-05,0.003647,0.988915
4415,0.7,4000000,41,0.002919,1.22e-05,0.003492,0.98974
4415,0.7,8000000,41,0.002587,9.02e-06,0.003004,0.992393
4415,0.75,75000,41,0.002958,1.603e-05,0.004003,0.988604
4415,0.75,125000,41,0.003737,3.276e-05,0.005723,0.976524
4415,0.75,250000,41,0.003864,3.307e-05,0.005751,0.97588
4415,0.75,500000,41,0.003032,1.696e-05,0.004118,0.987424
4415,0.75,1000000,41,0.003087,1.597e-05,0.003996,0.988388
4415,0.75,2000000,41,0.002714,1.264e-05,0.003556,0.990784
4415,0.75,4000000,41,0.002976,1.587e-05,0.003983,0.988457
4415,0.75,8000000,41,0.003276,1.672e-05,0.004088,0.987795
4415,0.8,75000,41,0.005023,4.726e-05,0.006875,0.984901
4415,0.8,125000,41,0.003933,3.024e-05,0.005499,0.990173
4415,0.8,250000,41,0.003601,2.434e-05,0.004934,0.992106
4415,0.8,500000,41,0.004043,2.656e-05,0.005153,0.99167
4415,0.8,1000000,41,0.003465,2.056e-05,0.004535,0.993674
4415,0.8,2000000,41,0.003583,2.3e-05,0.004796,0.992913
4415,0.8,4000000,41,0.003677,2.301e-05,0.004797,0.992867
4415,0.8,8000000,41,0.003726,1.963e-05,0.00443,0.993897
4415,0.85,75000,41,0.007714,0.00020538,0.014331,0.983417
4415,0.85,125000,41,0.00698,0.00017528,0.013239,0.986557
4415,0.85,250000,41,0.007488,0.00017624,0.013276,0.986973
4415,0.85,500000,41,0.006981,0.00016783,0.012955,0.987243
4415,0.85,1000000,41,0.006095,0.0001428,0.01195,0.988745
4415,0.85,2000000,41,0.005792,0.00012761,0.011296,0.989665
4415,0.85,4000000,41,0.00578,0.00011987,0.010948,0.990186
4415,0.85,8000000,41,0.005341,9.032e-05,0.009504,0.992602
4415,0.9,75000,41,0.005153,3.527e-05,0.005939,0.999193
4415,0.9,125000,41,0.004435,2.969e-05,0.005449,0.999349
4415,0.9,250000,41,0.004607,2.963e-05,0.005443,0.999371
4415,0.9,500000,41,0.004921,3.296e-05,0.005741,0.999294
4415,0.9,1000000,41,0.005398,5.578e-05,0.007469,0.998747
4415,0.9,2000000,41,0.004679,3.245e-05,0.005697,0.999261
4415,0.9,4000000,41,0.003953,2.349e-05,0.004847,0.999459
4415,0.9,8000000,41,0.003836,2.756e-05,0.00525,0.999365
4421,0.25,75000,41,0.003055,2.058e-05,0.004536,0.95199
4421,0.25,125000,41,0.003467,2.121e-05,0.004605,0.958588
4421,0.25,250000,41,0.002218,6.62e-06,0.002574,0.986829
4421,0.25,500000,41,0.002114,7.43e-06,0.002726,0.983621
4421,0.25,1000000,41,0.002293,7.78e-06,0.002789,0.981875
4421,0.25,2000000,41,0.002147,6.29e-06,0.002508,0.984858
4421,0.25,4000000,41,0.002008,5.68e-06,0.002384,0.986226
4421,0.25,8000000,41,0.002248,6.8e-06,0.002608,0.983548
4421,0.35,75000,41,0.002512,1.5e-05,0.003874,0.964297
4421,0.35,125000,41,0.003095,1.863e-05,0.004316,0.964732
4421,0.35,250000,41,0.001779,6.66e-06,0.002581,0.987724
4421,0.35,500000,41,0.001619,3.93e-06,0.001983,0.991896
4421,0.35,1000000,41,0.001561,3.57e-06,0.00189,0.992089
4421,0.35,2000000,41,0.001478,3.25e-06,0.001804,0.992553
4421,0.35,4000000,41,0.001521,3.15e-06,0.001775,0.992715
4421,0.35,8000000,41,0.001832,4.34e-06,0.002084,0.989977
4421,0.45,75000,41,0.002619,1.398e-05,0.003739,0.967947
4421,0.45,125000,41,0.002815,1.489e-05,0.003859,0.972799
4421,0.45,250000,41,0.002066,7.49e-06,0.002737,0.98732
4421,0.45,500000,41,0.001863,5.89e-06,0.002427,0.988899
4421,0.45,1000000,41,0.001603,4.69e-06,0.002166,0.990402
4421,0.45,2000000,41,0.001554,4.94e-06,0.002222,0.98944
4421,0.45,4000000,41,0.001676,5.68e-06,0.002382,0.987747
4421,0.45,8000000,41,0.002027,7.64e-06,0.002763,0.983534
4421,0.55,75000,41,0.002699,1.485e-05,0.003854,0.968863
4421,0.55,125000,41,0.00268,1.101e-05,0.003318,0.98087
4421,0.55,250000,41,0.003341,1.669e-05,0.004085,0.973815
4421,0.55,500000,41,0.003089,1.498e-05,0.003871,0.974831
4421,0.55,1000000,41,0.002928,1.374e-05,0.003707,0.975298
4421,0.55,2000000,41,0.002772,1.375e-05,0.003708,0.974293
4421,0.55,4000000,41,0.00282,1.493e-05,0.003864,0.971676
4421,0.55,8000000,41,0.002836,1.473e-05,0.003838,0.972029
4421,0.65,75000,41,0.003243,1.912e-05,0.004373,0.970199
4421,0.65,125000,41,0.002106,8.05e-06,0.002837,0.989001
4421,0.65,250000,41,0.004878,5.953e-05,0.007716,0.928917
4421,0.65,500000,41,0.004498,3.292e-05,0.005738,0.955879
4421,0.65,1000000,41,0.003451,1.856e-05,0.004308,0.973283
4421,0.65,2000000,41,0.003484,1.988e-05,0.004458,0.97059
4421,0.65,4000000,41,0.003336,1.979e-05,0.004449,0.970341
4421,0.65,8000000,41,0.003142,1.898e-05,0.004356,0.971473
4421,0.7,75000,41,0.004286,4.119e-05,0.006418,0.958932
4421,0.7,125000,41,0.003726,2.917e-05,0.005401,0.974073
4421,0.7,250000,41,0.004248,3.49e-05,0.005907,0.968546
4421,0.7,500000,41,0.003867,2.926e-05,0.005409,0.97066
4421,0.7,1000000,41,0.003177,1.898e-05,0.004356,0.980079
4421,0.7,2000000,41,0.003067,1.747e-05,0.00418,0.981289
4421,0.7,4000000,41,0.002891,1.596e-05,0.003995,0.982701
4421,0.7,8000000,41,0.002808,1.682e-05,0.004101,0.981722
4421,0.75,75000,41,0.002693,1.5e-05,0.003872,0.988033
4421,0.75,125000,41,0.003006,1.827e-05,0.004274,0.986171
4421,0.75,250000,41,0.003036,2.054e-05,0.004532,0.984862
4421,0.75,500000,41,0.003178,1.584e-05,0.00398,0.988345
4421,0.75,1000000,41,0.002895,1.36e-05,0.003688,0.989931
4421,0.75,2000000,41,0.002941,1.482e-05,0.003849,0.988936
4421,0.75,4000000,41,0.002977,1.53e-05,0.003912,0.98846
4421,0.75,8000000,41,0.002635,1.303e-05,0.00361,0.990153
4421,0.8,75000,41,0.002554,2.35e-05,0.004848,0.993138
4421,0.8,125000,41,0.005052,5.598e-05,0.007482,0.984976
4421,0.8,250000,41,0.004607,5.456e-05,0.007386,0.985674
4421,0.8,500000,41,0.00351,2.559e-05,0.005058,0.992589
4421,0.8,1000000,41,0.002992,2.059e-05,0.004537,0.99363
4421,0.8,2000000,41,0.003059,2.195e-05,0.004686,0.993019
4421,0.8,4000000,41,0.003243,2.31e-05,0.004806,0.992552
4421,0.8,8000000,41,0.0038,2.74e-05,0.005235,0.991149
4421,0.85,75000,41,0.00307,1.425e-05,0.003775,0.998151
4421,0.85,125000,41,0.004759,3.647e-05,0.006039,0.995608
4421,0.85,250000,41,0.004553,3.508e-05,0.005923,0.995979
4421,0.85,500000,41,0.004239,2.521e-05,0.005021,0.996997
4421,0.85,1000000,41,0.003838,2.183e-05,0.004672,0.997258
4421,0.85,2000000,41,0.003711,1.986e-05,0.004456,0.997459
4421,0.85,4000000,41,0.003669,2.093e-05,0.004574,0.997273
4421,0.85,8000000,41,0.003788,2.564e-05,0.005064,0.996655
4421,0.9,75000,41,0.004698,3.218e-05,0.005673,0.998978
4421,0.9,125000,41,0.003495,1.791e-05,0.004232,0.999462
4421,0.9,250000,41,0.004139,2.493e-05,0.004993,0.999282
4421,0.9,500000,41,0.004604,2.924e-05,0.005408,0.999148
4421,0.9,1000000,41,0.006121,9.033e-05,0.009504,0.997209
4421,0.9,2000000,41,0.004787,3.158e-05,0.005619,0.999001
4421,0.9,4000000,41,0.004278,2.688e-05,0.005184,0.999138
4421,0.9,8000000,41,0.004034,2.375e-05,0.004874,0.999237
