This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,75000,0.55,16,0.264239,11.2252433925184
6,0,6,75000,0.55,17,0.286529,11.2252433925184
6,0,6,75000,0.55,18,0.309351,11.2252433925184
6,0,6,75000,0.55,19,0.332754,11.2252433925184
6,0,6,75000,0.55,20,0.356836,11.2252433925184
6,0,6,75000,0.65,-20,0.379,11.2252433925184
6,0,6,75000,0.65,-19,0.35315,11.2252433925184
6,0,6,75000,0.65,-18,0.327862,11.2252433925184
6,0,6,75000,0.65,-17,0.303141,11.2252433925184
6,0,6,75000,0.65,-16,0.279028,11.2252433925184
6,0,6,75000,0.65,-15,0.255583,11.2252433925184
6,0,6,75000,0.65,-14,0.232794,11.2252433925184
6,0,6,75000,0.65,-13,0.210644,11.2252433925184
6,0,6,75000,0.65,-12,0.189104,11.2252433925184
6,0,6,75000,0.65,-11,0.168105,11.2252433925184
6,0,6,75000,0.65,-10,0.147385,11.2252433925184
6,0,6,75000,0.65,-9,0.126313,11.2252433925184
6,0,6,75000,0.65,-8,0.105076,11.2252433925184
6,0,6,75000,0.65,-7,0.082737,11.2252433925184
6,0,6,75000,0.65,-6,0.058508,11.2252433925184
6,0,6,75000,0.65,-5,0.037919,11.2252433925184
6,0,6,75000,0.65,-4,0.024924,11.2252433925184
6,0,6,75000,0.65,-3,0.018922,11.2252433925184
6,0,6,75000,0.65,-2,0.016821,11.2252433925184
6,0,6,75000,0.65,-1,0.015892,11.2252433925184
6,0,6,75000,0.65,0,0.01561,11.2252433925184
6,0,6,75000,0.65,1,0.015894,11.2252433925184
6,0,6,75000,0.65,2,0.016824,11.2252433925184
6,0,6,75000,0.65,3,0.018931,11.2252433925184
6,0,6,75000,0.65,4,0.024951,11.2252433925184
6,0,6,75000,0.65,5,0.037967,11.2252433925184
6,0,6,75000,0.65,6,0.059157,11.2252433925184
6,0,6,75000,0.65,7,0.083226,11.2252433925184
6,0,6,75000,0.65,8,0.106311,11.2252433925184
6,0,6,75000,0.65,9,0.127273,11.2252433925184
6,0,6,75000,0.65,10,0.147065,11.2252433925184
6,0,6,75000,0.65,11,0.167701,11.2252433925184
6,0,6,75000,0.65,12,0.188691,11.2252433925184
6,0,6,75000,0.65,13,0.210191,11.2252433925184
6,0,6,75000,0.65,14,0.23228,11.2252433925184
6,0,6,75000,0.65,15,0.254985,11.2252433925184
6,0,6,75000,0.65,16,0.278338,11.2252433925184
6,0,6,75000,0.65,17,0.302343,11.2252433925184
6,0,6,75000,0.65,18,0.326958,11.2252433925184
6,0,6,75000,0.65,19,0.352141,11.2252433925184
6,0,6,75000,0.65,20,0.377899,11.2252433925184
6,0,6,75000,0.7,-20,0.395077,11.2252433925184
6,0,6,75000,0.7,-19,0.367957,11.2252433925184
6,0,6,75000,0.7,-18,0.341379,11.2252433925184
6,0,6,75000,0.7,-17,0.31539,11.2252433925184
6,0,6,75000,0.7,-16,0.290026,11.2252433925184
6,0,6,75000,0.7,-15,0.265319,11.2252433925184
6,0,6,75000,0.7,-14,0.241291,11.2252433925184
6,0,6,75000,0.7,-13,0.217943,11.2252433925184
6,0,6,75000,0.7,-12,0.195267,11.2252433925184
6,0,6,75000,0.7,-11,0.173225,11.2252433925184
6,0,6,75000,0.7,-10,0.151681,11.2252433925184
6,0,6,75000,0.7,-9,0.130401,11.2252433925184
6,0,6,75000,0.7,-8,0.109622,11.2252433925184
6,0,6,75000,0.7,-7,0.087606,11.2252433925184
6,0,6,75000,0.7,-6,0.066088,11.2252433925184
6,0,6,75000,0.7,-5,0.046157,11.2252433925184
6,0,6,75000,0.7,-4,0.02981,11.2252433925184
6,0,6,75000,0.7,-3,0.02032,11.2252433925184
6,0,6,75000,0.7,-2,0.017138,11.2252433925184
6,0,6,75000,0.7,-1,0.016067,11.2252433925184
6,0,6,75000,0.7,0,0.015751,11.2252433925184
6,0,6,75000,0.7,1,0.016069,11.2252433925184
6,0,6,75000,0.7,2,0.017142,11.2252433925184
6,0,6,75000,0.7,3,0.020337,11.2252433925184
6,0,6,75000,0.7,4,0.029851,11.2252433925184
6,0,6,75000,0.7,5,0.045996,11.2252433925184
6,0,6,75000,0.7,6,0.06506,11.2252433925184
6,0,6,75000,0.7,7,0.087933,11.2252433925184
6,0,6,75000,0.7,8,0.109323,11.2252433925184
6,0,6,75000,0.7,9,0.130061,11.2252433925184
6,0,6,75000,0.7,10,0.151324,11.2252433925184
6,0,6,75000,0.7,11,0.172787,11.2252433925184
6,0,6,75000,0.7,12,0.194808,11.2252433925184
6,0,6,75000,0.7,13,0.217448,11.2252433925184
6,0,6,75000,0.7,14,0.240733,11.2252433925184
6,0,6,75000,0.7,15,0.264672,11.2252433925184
6,0,6,75000,0.7,16,0.289281,11.2252433925184
6,0,6,75000,0.7,17,0.314542,11.2252433925184
6,0,6,75000,0.7,18,0.340415,11.2252433925184
6,0,6,75000,0.7,19,0.366881,11.2252433925184
6,0,6,75000,0.7,20,0.3939,11.2252433925184
6,0,6,75000,0.75,-20,0.417716,11.2252433925184
6,0,6,75000,0.75,-19,0.388997,11.2252433925184
6,0,6,75000,0.75,-18,0.360754,11.2252433925184
6,0,6,75000,0.75,-17,0.333058,11.2252433925184
6,0,6,75000,0.75,-16,0.305948,11.2252433925184
6,0,6,75000,0.75,-15,0.279481,11.2252433925184
6,0,6,75000,0.75,-14,0.253695,11.2252433925184
6,0,6,75000,0.75,-13,0.228629,11.2252433925184
