This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.55,9,-0.066951,11.2252433925184
6,0,6,75000,0.55,10,-0.076114,11.2252433925184
6,0,6,75000,0.55,11,-0.084402,11.2252433925184
6,0,6,75000,0.55,12,-0.090704,11.2252433925184
6,0,6,75000,0.55,13,-0.096247,11.2252433925184
6,0,6,75000,0.55,14,-0.101315,11.2252433925184
6,0,6,75000,0.55,15,-0.106143,11.2252433925184
6,0,6,75000,0.55,16,-0.110888,11.2252433925184
6,0,6,75000,0.55,17,-0.115595,11.2252433925184
6,0,6,75000,0.55,18,-0.120273,11.2252433925184
6,0,6,75000,0.55,19,-0.124994,11.2252433925184
6,0,6,75000,0.55,20,-0.129829,11.2252433925184
6,0,6,75000,0.65,-20,0.142574,11.2252433925184
6,0,6,75000,0.65,-19,0.136787,11.2252433925184
6,0,6,75000,0.65,-18,0.130996,11.2252433925184
6,0,6,75000,0.65,-17,0.125168,11.2252433925184
6,0,6,75000,0.65,-16,0.119293,11.2252433925184
6,0,6,75000,0.65,-15,0.113364,11.2252433925184
6,0,6,75000,0.65,-14,0.107313,11.2252433925184
6,0,6,75000,0.65,-13,0.101039,11.2252433925184
6,0,6,75000,0.65,-12,0.094405,11.2252433925184
6,0,6,75000,0.65,-11,0.087184,11.2252433925184
6,0,6,75000,0.65,-10,0.07883,11.2252433925184
6,0,6,75000,0.65,-9,0.068093,11.2252433925184
6,0,6,75000,0.65,-8,0.054101,11.2252433925184
6,0,6,75000,0.65,-7,0.034638,11.2252433925184
6,0,6,75000,0.65,-6,0.008032,11.2252433925184
6,0,6,75000,0.65,-5,-0.009169,11.2252433925184
6,0,6,75000,0.65,-4,-0.010075,11.2252433925184
6,0,6,75000,0.65,-3,-0.005031,11.2252433925184
6,0,6,75000,0.65,-2,-0.002054,11.2252433925184
6,0,6,75000,0.65,-1,-0.000759,11.2252433925184
6,0,6,75000,0.65,0,-0.000111,11.2252433925184
6,0,6,75000,0.65,1,0.000538,11.2252433925184
6,0,6,75000,0.65,2,0.001839,11.2252433925184
6,0,6,75000,0.65,3,0.004824,11.2252433925184
6,0,6,75000,0.65,4,0.009874,11.2252433925184
6,0,6,75000,0.65,5,0.008934,11.2252433925184
6,0,6,75000,0.65,6,-0.009652,11.2252433925184
6,0,6,75000,0.65,7,-0.035816,11.2252433925184
6,0,6,75000,0.65,8,-0.056457,11.2252433925184
6,0,6,75000,0.65,9,-0.069518,11.2252433925184
6,0,6,75000,0.65,10,-0.078545,11.2252433925184
6,0,6,75000,0.65,11,-0.086864,11.2252433925184
6,0,6,75000,0.65,12,-0.09413,11.2252433925184
6,0,6,75000,0.65,13,-0.100768,11.2252433925184
6,0,6,75000,0.65,14,-0.107018,11.2252433925184
6,0,6,75000,0.65,15,-0.113029,11.2252433925184
6,0,6,75000,0.65,16,-0.11891,11.2252433925184
6,0,6,75000,0.65,17,-0.124729,11.2252433925184
6,0,6,75000,0.65,18,-0.130504,11.2252433925184
6,0,6,75000,0.65,19,-0.13625,11.2252433925184
6,0,6,75000,0.65,20,-0.142004,11.2252433925184
6,0,6,75000,0.7,-20,0.153526,11.2252433925184
6,0,6,75000,0.7,-19,0.147021,11.2252433925184
6,0,6,75000,0.7,-18,0.140446,11.2252433925184
6,0,6,75000,0.7,-17,0.133793,11.2252433925184
6,0,6,75000,0.7,-16,0.127049,11.2252433925184
6,0,6,75000,0.7,-15,0.120182,11.2252433925184
6,0,6,75000,0.7,-14,0.113153,11.2252433925184
6,0,6,75000,0.7,-13,0.105882,11.2252433925184
6,0,6,75000,0.7,-12,0.098263,11.2252433925184
6,0,6,75000,0.7,-11,0.090119,11.2252433925184
6,0,6,75000,0.7,-10,0.081097,11.2252433925184
6,0,6,75000,0.7,-9,0.070556,11.2252433925184
6,0,6,75000,0.7,-8,0.058355,11.2252433925184
6,0,6,75000,0.7,-7,0.040667,11.2252433925184
6,0,6,75000,0.7,-6,0.019542,11.2252433925184
6,0,6,75000,0.7,-5,-0.002507,11.2252433925184
6,0,6,75000,0.7,-4,-0.012891,11.2252433925184
6,0,6,75000,0.7,-3,-0.008379,11.2252433925184
6,0,6,75000,0.7,-2,-0.002882,11.2252433925184
6,0,6,75000,0.7,-1,-0.000885,11.2252433925184
