Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
3418,0.7,1000000,41,0.017352,0.000528,0.022987,0.003925,2.1e-05,0.004592,0.00311,1.4e-05,0.003695
3418,0.7,2000000,41,0.01675,0.000554,0.023528,0.004201,2.2e-05,0.004735,0.003115,1.3e-05,0.003592
3418,0.7,4000000,41,0.014439,0.000403,0.020072,0.004022,2.2e-05,0.004637,0.003083,1.3e-05,0.003564
3418,0.7,8000000,41,0.014511,0.000393,0.019835,0.003752,1.9e-05,0.004343,0.002991,1.1e-05,0.003315
3418,0.75,75000,41,0.028498,0.001331,0.036485,0.003683,2.3e-05,0.004831,0.004598,3.3e-05,0.005779
3418,0.75,125000,41,0.02395,0.001014,0.031838,0.003045,1.8e-05,0.004219,0.005606,5.6e-05,0.007457
3418,0.75,250000,41,0.022723,0.001037,0.032197,0.0034,1.9e-05,0.004408,0.005066,4.5e-05,0.006734
3418,0.75,500000,41,0.024696,0.001203,0.034683,0.003127,1.8e-05,0.004286,0.003836,2.2e-05,0.004641
3418,0.75,1000000,41,0.024925,0.001163,0.034105,0.003035,1.6e-05,0.003951,0.004018,2.2e-05,0.004716
3418,0.75,2000000,41,0.026178,0.00121,0.034786,0.003174,1.5e-05,0.003896,0.003974,2.1e-05,0.004606
3418,0.75,4000000,41,0.025022,0.001118,0.033439,0.00309,1.5e-05,0.003913,0.004069,2.3e-05,0.004836
3418,0.75,8000000,41,0.023167,0.001007,0.03173,0.003275,1.7e-05,0.004125,0.004064,2.6e-05,0.005109
3418,0.8,75000,41,0.030974,0.001213,0.034828,0.001802,6e-06,0.002388,0.004171,3.3e-05,0.005785
3418,0.8,125000,41,0.027451,0.001119,0.033456,0.002238,8e-06,0.002887,0.004097,3.3e-05,0.005785
3418,0.8,250000,41,0.025548,0.00102,0.031939,0.002162,7e-06,0.00273,0.004185,3.1e-05,0.005529
3418,0.8,500000,41,0.027045,0.001029,0.032076,0.002887,1.1e-05,0.003365,0.003856,2.4e-05,0.00489
